date,ndvi,smoothed_ndvi
2014-01-01,0.7543867914588274,0.7059295500555033
2014-01-16,0.73119530305079,0.6929624989030434
2014-02-01,0.631414611582067,0.6706487256277698
2014-02-16,0.4363533795688465,0.6389882302296825
2014-03-01,0.7217316983115084,0.597981012708781
2014-03-16,0.3967867317807047,0.5705945606058497
2014-04-01,0.6531118924334649,0.5267165850800871
2014-04-16,0.6393177238991213,0.4426091056841214
2014-05-01,0.13712931860929858,0.29733190404889437
2014-05-16,0.15239591758104523,0.20780824378206159
2014-06-01,0.061432099217680565,0.07759892332710264
2014-06-16,0.06519348632839657,0.015133305281041187
2014-07-01,0.06371760314111051,0.048645340567005646
2014-07-16,0.04233334075260478,0.054461783258526304
2014-08-01,0.052845975651410554,0.1055218380153519
2014-08-16,0.1874823377909675,0.16899877954750955
2014-09-01,0.2221018276680348,0.23218771854880527
2014-09-16,0.3254736321111183,0.252978367686749
2014-10-01,0.3085065713989707,0.26010927036627657
2014-10-16,0.2407842097996371,0.28876094912899436
2014-11-01,0.1850758380516917,0.30222341321469776
2014-11-16,0.40771883336226133,0.36801678794829945
2014-12-01,0.5617880757926189,0.47602051561261727
2014-12-16,0.46608452133415285,0.5939655899850439
2015-01-01,0.7849617776606713,0.6906308373624885
2015-01-16,0.7340797917442003,0.7448867201566987
2015-02-01,0.7319554073273156,0.7351482573994161
2015-02-16,0.7299782365387187,0.7200679316854548
2015-03-01,0.6706217418419649,0.6046869541644989
2015-03-16,0.4044520404466752,0.505236487173647
2015-04-01,0.45633212543872737,0.3829501001634601
2015-04-16,0.21263194963827506,0.26620904254665023
2015-05-01,0.2026767685830475,0.1883971656778249
2015-05-16,0.11616775140086878,0.1351354956041286
2015-06-01,0.11039428150328066,0.10890053401204464
2015-06-16,0.1212537961491586,0.08817654536030041
2015-07-01,0.07488204453974633,0.11405788212363203
2015-07-16,0.2146897223232185,0.13393927937554218
2015-08-01,0.06677739545948962,0.22121539757642966
2015-08-16,0.4286020204916921,0.36289914884456254
2015-09-01,0.3091371391711549,0.44030693054539355
2015-09-16,0.6787916095378747,0.4383104460498679
2015-10-01,0.5445698827016403,0.40062418450047915
2015-10-16,0.12995094765715645,0.326478475242476
2015-11-01,0.16297316997063502,0.29175990497690196
2015-11-16,0.256702886256437,0.27811956474109367
2015-12-01,0.469608571174856,0.3088040348820747
2015-12-16,0.421142182169515,0.42480206367640827
2016-01-01,0.5503970891633146,0.5168553650791342
2016-01-16,0.3631814630879882,0.5844365961074387
2016-02-01,0.7745777931657222,0.6916452052996364
2016-02-16,0.7795548049787352,0.7295054122574711
2016-03-01,0.7162740518310561,0.6712445386629745
2016-03-16,0.7623940417438141,0.5790134622074635
2016-04-01,0.17836702319331146,0.35705756050102405
2016-04-16,0.1542923489508843,0.2456736857186388
2016-05-01,0.15805050876283605,0.1478356003610965
2016-05-16,0.06618005950875457,0.0996391664770585
2016-06-01,0.3436778714137569,0.18157607623778266
2016-06-16,0.06201142297393391,0.16345620151631768
2016-07-01,0.18762565227078293,0.16799838326602062
2016-07-16,0.26337039377605337,0.19924157514581226
2016-08-01,0.039914383237033835,0.1679806967632509
2016-08-16,0.332119929633092,0.25648902673520746
2016-09-01,0.33572105473199115,0.34809498343877365
2016-09-16,0.2521017980741521,0.4158000731932843
2016-10-01,0.6332741186123967,0.4122074345325387
2016-10-16,0.5201998435674613,0.33723735120075715
2016-11-01,0.20141764515582772,0.34754603353492197
2016-11-16,0.10658427725464877,0.4295579916836404
2016-12-01,0.48093382923035993,0.46864910640353574
2016-12-16,0.7767011751233583,0.496461663305225
2017-01-01,0.7740028230134061,0.572498903149272
2017-01-01,0.4235445261001587,0.6166155842842282
2017-01-16,0.27474427223205566,0.5710499148422185
2017-01-16,0.7298284661564542,0.5592948719832089
2017-02-01,0.7230305529950531,0.5993984076888277
2017-02-16,0.5978646548680102,0.6702667537828939
2017-03-01,0.6718160088270112,0.6700480258728818
2017-03-16,0.5480143649193879,0.549594026540405
2017-04-01,0.4836578637240747,0.4164661854896976
2017-04-01,0.34872257709503174,0.32286338409472226
2017-04-16,0.14878336920813676,0.20575704809810003
2017-05-01,0.07467217548983474,0.2448253563245194
2017-05-16,0.33291284456491765,0.23641155773730688
2017-06-01,0.2828970558230387,0.31348469436671267
2017-06-01,0.6420256495475769,0.37681039625144813
2017-06-16,0.13081094252294456,0.4233847377231895
2017-06-16,0.5589396357536316,0.45788946771337896
2017-07-01,0.35816333951860685,0.4645982466325931
2017-07-01,0.5187636613845825,0.3753706817094221
2017-07-16,0.482133686542511,0.37026047047126026
2017-07-16,0.12379173721552406,0.21603443079029955
2017-08-01,0.0328983752802182,0.15511335572806484
2017-08-16,0.22420872898363534,0.14022148237920606
2017-09-01,0.05153164485936852,0.18893977291072217
2017-09-01,0.38978147506713867,0.3114066178465144
2017-09-16,0.5196663737243381,0.43091466765077635
2017-09-16,0.40747109055519104,0.4976253359843614
2017-10-01,0.5435070431258393,0.5470765988268843
2017-10-01,0.5720206499099731,0.44054321939576935
2017-10-16,0.3730247914791107,0.3364214002909677
2017-10-16,0.24982837687942552,0.3062212759579007
2017-11-01,0.06057638231774248,0.2814246681108349
2017-11-16,0.3356724081458152,0.3206542571828923
2017-11-16,0.5583445429801941,0.3896286505080717
2017-12-01,0.46125149726867676,0.4033135704926743
2017-12-16,0.4551198482513428,0.46594033442284694
2018-01-01,0.30804643034935,0.4206079600872016
2018-02-01,0.28861334919929504,0.3553555978066988
2018-02-16,0.6439417004585266,0.40278839123197385
2018-03-01,0.2969425320625305,0.4617415680771776
2018-03-16,0.43825364112854004,0.5554879732204199
2018-04-16,0.787936806678772,0.623748905343926
2018-05-01,0.6376511454582214,0.6476946074467191
2018-05-16,0.7125505208969116,0.696614823945156
2018-06-01,0.6501032114028931,0.6481038875136016
2018-07-01,0.5679576396942139,0.5687028806962999
2018-07-16,0.4791439473628998,0.5196366891974487
2018-08-01,0.4832784831523895,0.47979651978521565
2018-09-16,0.47334420680999756,0.4620647147878417
2018-10-01,0.41728928685188293,0.45970164400674496
2018-10-16,0.5353190898895264,0.4672600924968713
2018-11-01,0.43675124645233154,0.4671686172485351
2018-11-16,0.4666111469268799,0.468284190694491
2018-12-01,0.4805441200733185,0.4706068128347396
2018-12-16,0.4692707657814026,0.47413648366928096
